naId,title,start_date,end_date,nara_url,num_images,has_pdf,num_total_objects,pdf_url
169805291,Log of U.S.S. WACHUSETT: 2/1/1863-6/19/1863,,,https://catalog.archives.gov/id/169805291,79,True,80,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-wachusett-002/581208-wachusett-002.pdf
169803697,Log of U.S.S. TUSCARORA: 7/1/1876-9/14/1876,,,https://catalog.archives.gov/id/169803697,86,True,87,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-034/581208-tuscarora-034.pdf
169802461,Log of U.S.S. TUSCARORA: 6/1/1873-12/31/1873,,,https://catalog.archives.gov/id/169802461,224,True,225,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-028/581208-tuscarora-028.pdf
169802267,Log of U.S.S. TUSCARORA: 12/1/1872-5/31/1873,,,https://catalog.archives.gov/id/169802267,192,True,193,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-025/581208-tuscarora-025.pdf
169802121,Log of U.S.S. TUSCARORA: 10/1/1870-2/10/1871,,,https://catalog.archives.gov/id/169802121,144,True,145,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021.pdf
169797858,Log of U.S.S. TICONDEROGA: 1/10/1872-7/28/1872,,,https://catalog.archives.gov/id/169797858,210,True,211,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-021/581208-ticonderoga-021.pdf
169797162,Log of U.S.S. TICONDEROGA: 1/1/1868-6/30/1868,,,https://catalog.archives.gov/id/169797162,192,True,193,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-011/581208-ticonderoga-011.pdf
169796871,Log of U.S.S. TICONDEROGA: 7/1/1866-12/31/1866,1866-07-01,1866-12-31,https://catalog.archives.gov/id/169796871,96,True,97,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-007/581208-ticonderoga-007.pdf
169796720,Log of U.S.S. TICONDEROGA: 4/5/1865-5/5/1865,,,https://catalog.archives.gov/id/169796720,19,True,20,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-004/581208-ticonderoga-004.pdf
169795564,Log of U.S.S. SWATARA: 3/1/1889-8/31/1889,,,https://catalog.archives.gov/id/169795564,198,True,199,https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-swatara-057/581208-swatara-057.pdf
